	Smiles	Standard Type	Standard Value	pChEMBL Value
3871	O=S(=O)(NCC1CCN(CCOc2cccc(F)c2)CC1)c1cccs1	Ki	2759.0	5.56
3872	CC(C)c1ccccc1OCCN1CCC(CNS(=O)(=O)c2cccc(Cl)c2)CC1	Ki	177.0	6.75
3873	CCOc1ccccc1C(=O)NC1CCN(CCOc2cccc(F)c2)CC1	Ki	3785.0	5.42
3874	O=S(=O)(NC1CCN(CCOc2ccccc2)CC1)c1cccs1	Ki	862.0	6.06
3875	CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccs2)C1	Ki	258.0	6.59
3876	O=S(=O)(NC1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc(F)c(F)c1	Ki	327.0	6.49
3880	Cl.O=S(=O)(c1ccc2c(c1)O[C@H]1CNCC[C@@H]21)c1ccccc1Cl	Ki	38.0	7.42
3882	CNc1cc(NC)c2ccn(S(=O)(=O)c3ccccc3)c2c1	Ki	26.0	7.58
3884	O=S(=O)(c1ccccc1Br)n1cc(C[C@@H]2CCCN2)c2ccccc21	Ki	43.0	7.37
3885	Cl.O=S(=O)(c1ccc(NO)cc1)c1cccc2ccccc12	Ki	63.0	7.2
3887	O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1	Ki	250.0	6.6
3888	O=S(=O)(NCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc2ccccc12	Ki	46.0	7.34
3889	O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc(Cl)cc1	Ki	180.0	6.75
3893	N#Cc1cc(S(=O)(=O)c2ccc(Cl)cc2)cc2c3c(oc12)CCNC3	Ki	8.8	8.06
3894	COc1ccccc1N1CCN(CCCCCn2cnc3c2c(=O)n(C)c(=O)n3C)CC1.Cl	Ki	8987.0	5.05
3895	CN1C(=O)N(CCCCCN2CCN(c3ccccc3F)CC2)C(C)(c2ccccc2)C1=O.Cl	Ki	25520.0	4.59
3896	CC1(C)C(=O)N(Cc2ccccc2)C(=O)N1CCCCCN1CCN(c2ccc(F)cc2F)CC1.Cl	Ki	7469.0	5.13
3897	O=S(=O)(c1ccccn1)n1ccc2c(N3CCNCC3)cccc21	Ki	1.0	9.0
3899	Cc1cc2c(N3CCNCC3)cccc2n1S(=O)(=O)c1cccc(Cl)c1	Ki	0.3981	9.4
3901	Cc1c(S(=O)(=O)Nc2ccc3nccc(N4CCN[C@H](C(C)C)C4)c3c2)sc2ccc(Cl)cc12	Ki	19.95	7.7
3904	COc1cccc2c1ccn2S(=O)(=O)c1ccccc1	Ki	262.0	6.58
3905	CN(C)CC1=Cc2cn(S(=O)(=O)c3cccc4ccccc34)c3cccc(c23)O1	Ki	1.0	9.0
3909	COc1ccc2[nH]cc(C3CCN(CCCCN4C(=O)CC(c5c[nH]c6ccc(OC)cc56)C4=O)CC3)c2c1	Ki	427.0	6.37
3913	O=C1CC(c2c[nH]c3ccccc23)C(=O)N1CCCCN1CCC(c2c[nH]c3ccc(F)cc23)CC1	Ki	63.0	7.2
3917	O=S(=O)(c1ccccc1)n1ccc2ccccc21	Ki	159.0	6.8
3920	CN(C)CCc1cn(S(=O)(=O)c2ccccc2)c2ccc(OCc3ccccc3)cc12	Ki	320.0	6.5
3927	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)cc1	Ki	0.631	9.2
3935	FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1	Ki	7109.5	5.15
3936	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	Ki	7.559	8.12
3940	CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3	Ki	400.0	6.4
3949	Cc1cc(S(=O)(=O)c2cccc(F)c2)cc2c3c(n(C)c12)CC1CCC3N1	Ki	8.1	8.09
3950	O=S(=O)(c1ccccc1)c1ccc2c(c1)c1c(n2CCO)CC2CCC1N2	Ki	432.0	6.37
3951	COc1cc(S(=O)(=O)n2ncc3ccccc32)cc2c3c(n(C)c12)CC1CCC3N1	Ki	1.3	8.89
3953	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(OCc4ccccn4)c31)C1CCC(C2)N1	Ki	80.0	7.1
3954	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(OCc4cccnc4)c31)C1CCC(C2)N1	Ki	129.0	6.89
3962	CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(Cl)cc1	Ki	3.162	8.5
3963	CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(O)cc1	Ki	3.981	8.4
3964	CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(N(C)C)cc1	Ki	37.15	7.43
3965	CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)cc1	Ki	0.3981	9.4
3966	CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(OC)cc1	Ki	9.55	8.02
3967	Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1	Ki	210.0	6.68
3968	O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(Cl)c1	Ki	120.0	6.92
3969	O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(O)c1	Ki	30.0	7.52
3970	O=S(=O)(NCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc(Cl)cc1	Ki	35.0	7.46
3971	O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCCCN1CCN(c2cccc(Cl)c2)CC1	Ki	1142.0	5.94
3972	O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1	Ki	2205.0	5.66
3976	O=C1Nc2ccccc2C12CCN(CCN1CCN(c3ccccc3)CC1)C2	Ki	6556.0	5.18
3977	O=S(=O)(c1cc(Cl)cc(Cl)c1)c1cn(C2CCCNC2)c2ncccc12	Ki	6.1	8.21
3978	O=S(=O)(c1cc(F)cc(F)c1)c1ccc2oc3c(c2c1)CNCC3	Ki	339.0	6.47
3979	O=S(=O)(c1cc(Cl)cc(Cl)c1)c1ccc2oc3c(c2c1)CNCC3	Ki	17.0	7.77
3980	Cc1cn(S(=O)(=O)c2ccc3oc4c(c3c2)C2CCC(C4)N2)c2ccccc12	Ki	16.0	7.8
3981	CC(O)Cc1cc(S(=O)(=O)c2ccccc2)cc2c3c(oc12)CCNC3	Ki	19.0	7.72
3983	O=S(=O)(c1cccc(-n2cccn2)c1)c1cc(Cl)c2oc3c(c2c1)CNCC3	Ki	2.2	8.66
3984	CC(C)(O)c1ccccc1S(=O)(=O)c1cc(Cl)c2oc3c(c2c1)CNCC3	Ki	25.0	7.6
3985	O=S(=O)(c1ccccc1)n1ccc2c(O)cccc21	Ki	108.0	6.97
3988	Cc1sc2c(Cl)cc(Cl)cc2c1S(=O)(=O)Nc1ccc2nccc(N3CCNCC3)c2c1	Ki	1.995	8.7
3990	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc(Cl)c(Cl)c1	Ki	7.1	8.15
3991	O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc(F)c(Cl)c1	Ki	48.0	7.32
3992	O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc(OC(F)(F)F)cc1	Ki	23.0	7.64
3993	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cccc2ccccc12	Ki	83.0	7.08
3994	O=S(=O)(NCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2ccccc2c1	Ki	133.0	6.88
3995	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1	Ki	40.0	7.4
3997	O=S(=O)(c1cccc2ccccc12)n1ccc2c(N3CCNCC3)c(Cl)ccc21	Ki	7.943	8.1
3998	OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1	Ki	1670.0	5.78
3999	CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4ccc(-c5ccccc5)cc4)cc23)CC1	Ki	6.8	8.17
4000	CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2cc(F)ccc21	Ki	44.0	7.36
4003	CCN(CC)CCc1c[nH]c2ccc(NS(=O)(=O)c3cccc4ccccc34)cc12	Ki	3.5	8.46
4004	CCN(CC)CCn1ccc2cc(NS(=O)(=O)c3cccc4ccccc34)ccc21	Ki	116.2	6.93
4005	CN(C)CCn1ccc2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc21	Ki	55.2	7.26
4006	CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(F)cc3Cl)cc12	Ki	35.0	7.46
4007	CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3F)cc12	Ki	1.0	9.0
4009	CN1C(=O)N(CC(O)CN2CCN(c3ccccc3)CC2)C(c2ccccc2)(c2ccccc2)C1=O	Ki	20410.0	4.69
4010	CN1C(=O)N(CCCCCN2CCN(c3ccccc3)CC2)C(C)(c2ccccc2)C1=O.Cl	Ki	9600.0	5.02
4011	COc1ccccc1N1CCN(CC(O)CN2C(=O)NC(C)(c3ccc(F)cc3)C2=O)CC1.Cl	Ki	10790.0	4.97
4013	O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2nsc3ccccc23)CC1	Ki	158.0	6.8
4014	O=C1c2cccc3cccc(c23)C(=O)N1CCCCCCN1CCN(c2nsc3ccccc23)CC1	Ki	110.0	6.96
4015	Cc1ccc(S(=O)(=O)N(CCCCCCN2CCN(c3nsc4ccccc34)CC2)c2ccccc2)cc1	Ki	772.0	6.11
4016	O=S(=O)(NCCCCCCN1CCN(c2nsc3ccccc23)CC1)c1cccc2ccccc12	Ki	52.0	7.28
4017	C/N=C1\NC(=O)/C(=C\c2c[nH]c3c(Br)cccc23)N1C	Ki	2306.0	5.64
4018	C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3ccccc23)N1C	Ki	1716.0	5.76
4023	O=S(=O)(c1cccc(F)c1)c1n[nH]c2cccc(N3CCNCC3)c12	Ki	134.0	6.87
4024	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	Ki	5060.0	5.3
4025	O=S(=O)(c1cccc(F)c1)c1cn(C2CCNC2)c2ncccc12	Ki	2.692	8.57
4026	O=S(=O)(c1ccc(C(F)(F)F)cc1)c1cn(C2CCCNC2)c2ncccc12	Ki	12.02	7.92
4028	O=S(=O)(Nc1ccc2sc(N3CCNCC3)nc2c1)c1cccc2ccccc12	Ki	500.0	6.3
4030	O=C(c1ccc(F)cc1)C1CCN(CCc2ccccc2I)CC1	Ki	138.0	6.86
4033	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	Ki	5986.0	5.22
4035	Oc1ccc(-c2ccc(CNCCc3c[nH]c4ncc(F)cc34)o2)cc1	Ki	25.0	7.6
4036	N=C(NC1=NC2CCCCC2C(=O)N1)N1CCC(Cc2ccccc2)CC1	Ki	21.0	7.68
4043	O=S(=O)(c1ccccc1)n1cc2c3c(cccc31)N1CCNCC1C2	Ki	9.0	8.05
4044	Cc1cccc(S(=O)(=O)n2cc3c4c(cccc42)N2CCNCC2C3)c1	Ki	24.0	7.62
4047	Clc1cccc(Cn2cnc3c(N4CCNCC4)nccc32)c1	Ki	320.0	6.5
4049	COc1cc(Cl)c(C)cc1NS(=O)(=O)c1ccc(OC)c(N2CCNCC2)c1	Ki	1.995	8.7
4050	Cc1cnc2ccc(NS(=O)(=O)c3sc4ccc(Cl)cc4c3C)cc2c1N1CCNCC1	Ki	2.512	8.6
4052	Nc1ccc(S(=O)(=O)Nc2cccc(N)c2)cc1	Ki	630.96	6.2
4056	CN(C)CCn1cc(S(=O)(=O)c2cccc(F)c2)c2ccccc21	Ki	13.0	7.89
4057	COc1ccc(S(=O)(=O)N2c3ccccc3CC2(C)C)cc1N1CCNCC1	Ki	0.7943	9.1
4058	CN1CCCCC1CCN1c2ccc(Br)cc2[Se]c2cc(Br)ccc21.Cl	Ki	222.0	6.65
4059	Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(NCC3CCNCC3)cc12	Ki	3.5	8.46
4060	Cl.O=C(Nc1cccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c12)C1CCNCC1	Ki	28.0	7.55
4061	CN(C)CCNC(=O)c1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1.Cl	Ki	2.9	8.54
4062	COc1cc2c3c(c1OCC1CC1)-c1cc(NC(N)=O)ccc1CC3N(C)CC2	Ki	527.0	6.28
4064	COc1ccc(S(=O)(=O)Nc2ccccc2C(C)C)cc1N1CCNCC1	Ki	1.0	9.0
4067	COc1ccc(S(=O)(=O)Nc2cc(Br)cc(Br)c2)cc1N1CCNCC1	Ki	0.5012	9.3
4068	O=C(O)C(=O)O.O=S(=O)(c1ccccc1)n1cc(C[C@@H]2CCCN2)c2ccccc21	Ki	46.0	7.34
4073	O=C1CC(c2ccccc2)CN1c1cncc(N2CCNCC2)c1	Ki	4100.0	5.39
4077	CC(CN1c2ccccc2Sc2ccccc21)N(C)C	Ki	1128.0	5.95
4080	O=S(=O)(NC1CCN(CCOc2cccc3c2CCCC3)C1)c1cccs1	Ki	102.0	6.99
4081	O=S(=O)(NC1CCN(CCOc2cc(Cl)ccc2Cl)C1)c1ccc(Cl)s1	Ki	225.0	6.65
4082	CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc3cccnc23)C1	Ki	504.0	6.3
4083	O=S(=O)(NC1CCN(CCOc2ccccc2)C1)c1ccc(F)cc1	Ki	248.0	6.61
4084	O=S(=O)(N[C@H]1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc(F)cc1	Ki	271.0	6.57
4085	CNc1nn2c(CN)cc(C)nc2c1S(=O)(=O)c1ccccc1	Ki	1.862	8.73
4096	CCN/C(=N\S(=O)(=O)c1ccc2c(c1)NCC2)N1CC(CC)C=N1	Ki	399.1	6.4
4101	Cc1cn2c3c(=O)n(C)c(=O)n(C)c3nc2n1CCCCCN1CCN(c2ccc(Cl)cc2)CC1	Ki	837.0	6.08
4102	CCn1cncc1-c1c[nH]c2ccc(OC(F)(F)F)cc12	Ki	3467.0	5.46
4113	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	Ki	771.0	6.11
4116	O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc2cc(Cl)ccc2c1	Ki	61.0	7.21
4117	O=S(=O)(NCCCN1CCN(c2nsc3ccccc23)CC1)c1cccc2scnc12	Ki	27.0	7.57
4118	O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(Cl)c(Cl)c1	Ki	29.0	7.54
4119	Cc1cccc(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1	Ki	140.0	6.85
4120	O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2ccccc2c1	Ki	2.4	8.62
4123	O=C1OC(c2ccccc2Cl)CN1c1ccc2c(c1)CCNC2	Ki	330.0	6.48
4128	Cc1[nH]c2ccc(Cl)cc2c1C1=CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1	Ki	180.0	6.75
4129	COc1cc(S(=O)(=O)c2cccc(C3CCOC3)c2)cc2c3c(oc12)CCNC3	Ki	0.36	9.44
4130	O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3ccc(F)cc3)CC2)CC1	Ki	1863.0	5.73
4131	O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)CC1	Ki	1016.0	5.99
4132	O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1	Ki	401.0	6.4
4133	COc1ccc2c(CN3CCN(C)CC3)cn(S(=O)(=O)c3ccc(C(C)C)cc3)c2c1	Ki	36.1	7.44
4134	O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1ccc2ccccc2c1	Ki	1600.0	5.8
4135	O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1ccc2cc(Cl)ccc2c1	Ki	2300.0	5.64
4136	O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1cc2ccccc2s1	Ki	35.0	7.46
4137	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2cc(Cl)ccc2c1	Ki	26.0	7.58
4138	O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(OC(F)(F)F)cc1	Ki	4800.0	5.32
4139	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2ccccc2c1	Ki	32.0	7.5
4142	O=S(=O)(Nc1ccn(Cc2cccc3ccccc23)n1)c1ccc(Br)s1	Ki	11980.0	4.92
4143	O=S(=O)(c1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12	Ki	3104.0	5.51
4144	O=S(=O)(Nc1cc(Sc2cccc3cccnc23)c(O)c2ccccc12)c1ccccc1	Ki	15610.0	4.81
4148	COc1cc(S(=O)(=O)c2cccc(F)c2)cc2c3c(n(C)c12)CC1CCC3N1	Ki	3.3	8.48
4150	Cn1c2c(c3cc(S(=O)(=O)c4ccc5ccccc5c4)ccc31)C1CCC(C2)N1	Ki	37.0	7.43
4151	COc1ccc(S(=O)(=O)c2ccc3c(c2)c2c(n3C)CC3CCC2N3)cc1	Ki	44.0	7.36
4152	Cn1c2c(c3cc(S(=O)(=O)c4cccc(O)c4)ccc31)C1CCC(C2)N1	Ki	11.0	7.96
4158	CN[C@H]1c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2[C@@H]1CCO	Ki	158.49	6.8
4159	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	Ki	114.0	6.94
4163	CC(C)c1ccc(S(=O)(=O)n2cc(CN3CCN(C)CC3)c3ccccc32)cc1	Ki	6.0	8.22
4164	COc1ccc2c(c1)c(CN1CCNCC1)cn2S(=O)(=O)c1ccc(C(C)C)cc1.Cl.Cl	Ki	5.7	8.24
4165	CCN1CCN(Cc2cn(S(=O)(=O)c3ccccc3)c3ccc(OC)cc23)CC1	Ki	8.8	8.06
4166	COc1ccc2c(c1)c(CN1CCCN(C)CC1)cn2S(=O)(=O)c1ccc(C(C)C)cc1.Cl.Cl	Ki	2.0	8.7
4168	O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21	Ki	10.0	8.0
4169	O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21	Ki	8.0	8.1
4170	CCN/C(=N\[S+]([O-])c1sc2ccc(Cl)cc2c1C)N1CC(CC)C=N1	Ki	8.5	8.07
4172	CN1CCC(c2cccc3cc(S(=O)(=O)c4ccccn4)cnc23)CC1	Ki	0.22	9.66
4173	CN1CCN(c2cccc3cc(S(=O)(=O)c4cccc(F)c4)cnc23)CC1	Ki	0.34	9.47
4178	CCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1	Ki	4460.7	5.35
4179	O=C1CC(c2c[nH]c3ccc(F)cc23)C(=O)N1CCCCN1CCC(c2c[nH]c3ccc(F)cc23)CC1	Ki	301.0	6.52
4180	O=S(=O)(c1ccccc1)n1ccc2cc(N3CCN(CC(F)(F)F)CC3)ccc21	Ki	5252.0	5.28
4181	O=S(=O)(c1ccccc1)n1ccc2c(-c3ccccc3)cccc21	Ki	162.0	6.79
4182	O=S(=O)(c1ccccc1)n1cc(-c2ccncc2)c2ccccc21	Ki	124.0	6.91
4183	CN(C)CCN1C(=O)c2ccccc2N(C)C(=O)c2ccccc21	Ki	40400.0	4.39
4184	COc1ccc2c(c1)c1c(n2S(=O)(=O)c2cccc3cccnc23)CCCC1CN(C)C	Ki	7.6	8.12
4190	O=C(CCOCCN1CCN(c2ncccc2-c2ccccc2)CC1)NCc1ccc(C(F)(F)F)cc1	Ki	1039.0	5.98
4191	CCN/C(=N\S(=O)(=O)c1ccc(N)cc1)N1CC(CC)C=N1	Ki	7.2	8.14
4194	Cc1c(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)oc2ccc(Cl)cc12	Ki	3.981	8.4
4197	CCN/C(=N\S(=O)(=O)c1ccc(O)cc1)N1CC2(C=N1)CCCC2	Ki	5.8	8.24
4198	CCN/C(=N\S(=O)(=O)c1ccccc1)N1CC(C)(C)C=N1	Ki	146.6	6.83
4205	CC(C)c1nc2c(N3CCNCC3)nccc2n1Cc1cccc(Cl)c1	Ki	126.0	6.9
4207	CN1CCN(Cc2cn(S(=O)(=O)c3ccc(C#N)cc3)c3ccccc23)CC1	Ki	90.5	7.04
4208	COc1ccc2c(c1)c(CN1CCN(CCF)CC1)cn2S(=O)(=O)c1ccccc1Br	Ki	348.0	6.46
4210	O=S(=O)(c1ccccc1)N1Cc2cccc(N3CCN(C4CCC4)CC3)c2C1	Ki	4.8	8.32
4211	COc1cc(S(=O)(=O)c2ccc3c(c2)CCOC3)cc2c3c(oc12)CCNC3	Ki	0.48	9.32
4212	COc1cc(S(=O)(=O)c2ccc(OC(F)F)cc2)cc2c3c(oc12)CCNC3	Ki	0.4	9.4
4213	Cc1cc(S(=O)(=O)c2ccc(Cl)cc2)cc2c3c(oc12)CCNC3	Ki	1.1	8.96
4214	COc1cc(S(=O)(=O)c2cn(C)c3ccccc23)cc2c3c(oc12)CCNC3	Ki	0.16	9.8
4215	O=S(=O)(c1ccc(F)cc1)c1cc(F)c2oc3c(c2c1)CNCC3	Ki	44.0	7.36
4216	Cn1cc(S(=O)(=O)c2cc(C#N)c3oc4c(c3c2)CNCC4)c2ccccc21	Ki	0.4	9.4
4219	O=S(=O)(c1cccc(F)c1)c1ccc2c3c(oc2c1)C1(CCOC1)NCC3	Ki	22.3	7.65
4220	CC1(C)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21	Ki	2.9	8.54
4222	CCn1cc(CCN(C)C)c2cc(OC)ccc21	Ki	240.0	6.62
4225	Cc1cc(C)n2nc(NCCN(C)C)c(S(=O)(=O)c3ccccc3)c2n1	Ki	2600.0	5.58
4227	Cc1cc(S(=O)(=O)c2cc(F)cc(F)c2)cc2c3c(oc12)CCNC3	Ki	1.3	8.89
4228	C=C(C)c1cccc(S(=O)(=O)c2cc(Cl)c3oc4c(c3c2)CNCC4)c1	Ki	0.66	9.18
4229	COc1cc(S(=O)(=O)c2ccc3sccc3c2)cc2c3c(oc12)CCNC3	Ki	0.16	9.8
4230	COc1cc(S(=O)(=O)c2csc3ccccc23)cc2c3c(oc12)CCNC3	Ki	0.1	10.0
4231	CN(C)c1cc(N2CCNCC2)ccc1S(=O)(=O)c1ccccc1.Cl	Ki	30.1	7.52
4232	CNc1cc(-c2ccccc2)ccc1S(=O)(=O)c1ccccc1	Ki	153.0	6.82
4233	CNc1cc(-c2cccnc2)ccc1S(=O)(=O)c1ccccc1	Ki	48.3	7.32
4234	COc1cc(S(=O)(=O)c2cccc(C(C)(C)O)c2)cc2c3c(oc12)CCNC3	Ki	0.35	9.46
4235	COc1cc(S(=O)(=O)c2cc(F)cc(F)c2)cc2c3c(oc12)CCNC3	Ki	0.33	9.48
4236	COc1cc(S(=O)(=O)c2cc(F)cc(Cl)c2)cc2c3c(oc12)CCNC3	Ki	0.11	9.96
4237	O=S(=O)(c1ccccc1)c1cc(C(F)(F)F)c2oc3c(c2c1)CNCC3	Ki	2.1	8.68
4239	N#Cc1cc(S(=O)(=O)c2ccccc2)cc2c3c(oc12)CCNC3	Ki	4.2	8.38
4241	Clc1cc(Cc2ccccc2)cc2c3c(oc12)CCNC3	Ki	24.0	7.62
4242	COc1cc(S(=O)(=O)c2ccccc2)cc2c3c(oc12)CCC(O)C3	Ki	0.59	9.23
4243	CN1CCN(c2nc(N)nc(COc3cccc(Cl)c3)n2)CC1	Ki	148.0	6.83
4244	CCc1[nH]c2ccc(OC)cc2c1C[C@@H]1CCCN1C	Ki	220.0	6.66
4246	Cc1ccc(S(=O)(=O)n2cc(Cl)c3c(CN4CCN(C)CC4)cccc32)cc1	Ki	222.0	6.65
4247	CN1CCN(Cc2cccc3c2c(Cl)cn3S(=O)(=O)c2ccccc2)CC1	Ki	53.62	7.27
4248	CN1CCN(Cc2cccc3c2ccn3S(=O)(=O)c2cccc3ccccc23)CC1	Ki	4.82	8.32
4249	CN1CCN(Cc2cccc3c2c(Br)cn3S(=O)(=O)c2ccccc2)CC1	Ki	30.28	7.52
4252	Cl.O=S(=O)(NCCCN1CCN(c2ccc(Cl)cc2)CC1)c1cncc2ccccc12	Ki	2757.0	5.56
4254	CCn1cncc1-c1c[nH]c2ccc(Cl)cc12	Ki	4169.0	5.38
4255	CCn1cncc1-c1c[nH]c2ccc(Br)cc12	Ki	1349.0	5.87
4256	CCn1cncc1-c1c[nH]c2ccc(Cl)c(F)c12	Ki	1622.0	5.79
4257	CCn1cncc1-c1c[nH]c2ccc(OC)c(F)c12	Ki	3467.0	5.46
4258	CCn1cncc1-c1c[nH]c2ccc(I)c(F)c12	Ki	2884.0	5.54
4259	COc1ccc(N2CCN(CCCCCCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)cc1	Ki	5765.0	5.24
4260	Cl.O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccccc2F)CC1	Ki	710.0	6.15
4261	Cl.O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccc(Cl)c(Cl)c2)CC1	Ki	1860.0	5.73
4262	Cl.O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1	Ki	2214.0	5.66
4269	NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3Cc2cccc(Cl)c2)CC1	Ki	12.6	7.9
4270	NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3Cc2ccccc2F)CC1	Ki	23.0	7.64
4271	CN[C@H]1c2c(ccc3c2ccn3S(=O)(=O)c2ccccc2)[C@@H]1CCO	Ki	199.53	6.7
4272	CN(C)[C@@H]1c2cc3c(ccn3S(=O)(=O)c3ccccc3)cc2[C@@H]1CCO	Ki	316.23	6.5
4273	CC(C)c1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4C)c3c2)cc1	Ki	1.0	9.0
4274	CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc12	Ki	0.4	9.4
4275	CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12	Ki	1.0	9.0
4276	CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc12	Ki	1.0	9.0
4283	CCN1C2CCC1c1c(n(C)c3ccc(S(=O)(=O)c4ccccc4)cc13)C2	Ki	91.0	7.04
4285	CN1CCN(c2nc(N)nc(COc3ccccc3Cl)n2)CC1	Ki	129.0	6.89
