	Smiles	Standard Type	Standard Value	pChEMBL Value
219	CNc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CN(C)CC3	Ki	0.68	9.17
220	COc1ccc(S(=O)(=O)n2c3c(c4cc(OC)ccc42)CC(N(C)C)CC3)cc1	Ki	19.8	7.7
221	COc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)cc1N1CCN(CCCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	Ki	194.0	6.71
222	CNc1ccc(C2(C)C(=O)Nc3cc(Cl)cc(Cl)c3C2=O)cc1	Ki	257.0	6.59
223	COc1ccc2c(c1)c(CN1CCN(C)CC1)nn2S(=O)(=O)c1ccccc1Br	Ki	348.0	6.46
224	CN(C)CCCOc1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1	Ki	1.3	8.89
225	CC1(c2ccccc2)C(=O)Nc2cc(Br)cc(Br)c2C1=O	Ki	196.9	6.71
226	COc1cc(Cl)c2c(c1)NC(=O)C(C)(c1ccccc1)C2=O	Ki	344.6	6.46
227	CNc1cc(N2CCCNCC2)ccc1S(=O)(=O)c1ccc(F)cc1	Ki	1.4	8.85
228	COc1ccc(S(=O)(=O)Nc2cc(Br)cc(F)c2Br)cc1N1CCNCC1	Ki	3.0	8.52
229	COc1ccc([C@]2(C)C(=O)Nc3cc(Cl)cc(Cl)c3C2=O)cc1	Ki	293.0	6.53
230	CN(C)c1ccc(C2(C)C(=O)Nc3cc(Cl)cc(Cl)c3C2=O)cc1	Ki	346.0	6.46
231	CC1Cc2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc2/C1=N/NC(=N)N.Cl	Ki	1.6	8.8
232	Cl.N=C(N)N/N=C1\CCc2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc21	Ki	2.6	8.59
233	Cn1c2c(c3cc(S(=O)(=O)c4cccc(-c5ccccc5)c4)ccc31)C1CCC(C2)N1	Ki	2.6	8.59
234	Cn1c2c(c3cc(S(=O)(=O)c4ccnc5ccccc45)ccc31)C1CCC(C2)N1	Ki	39.0	7.41
235	Cn1c2c(c3cc(S(=O)(=O)c4csc5ccccc45)ccc31)C1CCC(C2)N1	Ki	0.28	9.55
236	Cn1c2c(c3cc(S(=O)(=O)c4cncc5ccccc45)ccc31)C1CCC(C2)N1	Ki	3.7	8.43
237	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(O)c31)C1CCC(C2)N1	Ki	2.9	8.54
238	CC(Nc1nc2c(S(=O)(=O)c3ccccc3)nnn2c2ccsc12)C12CC3CC(CC(C3)C1)C2	Ki	103.0	6.99
239	COc1ccc2[nH]c3c(c2c1)C(CN(C)C)CCC3	Ki	168.0	6.78
240	O=S(=O)(c1cccc2ccccc12)n1ccc2ccc(N3CCN4CCCC4C3)cc21	Ki	0.7	9.15
242	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1	Ki	15.0	7.82
243	CCOc1ccccc1N1CCN(CCCCCCN2C(=O)c3cccc4cccc(c34)C2=O)CC1	Ki	246.0	6.61
244	Cl.O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1	Ki	937.0	6.03
245	Cl.O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1	Ki	918.0	6.04
246	COc1ccccc1N1CCN(CCCN2C(=O)N(C)C(=O)C2(c2ccccc2)c2ccccc2)CC1	Ki	29070.0	4.54
247	CN1C(=O)N(CCCCCN2CCN(c3ccccc3)CC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl	Ki	3071.0	5.51
248	CC1(C)C(=O)N(Cc2ccc(F)cc2)C(=O)N1CCCCCN1CCN(c2ccc(F)cc2F)CC1.Cl	Ki	8104.0	5.09
251	O=S(=O)(c1cccc(Cl)c1)c1cn(CCN2CCCC2)c2ncccc12	Ki	45.0	7.35
252	CN(C)CCn1cc(S(=O)(=O)c2cccs2)c2cccnc21	Ki	15.0	7.82
253	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	Ki	100.0	7.0
255	O=S(=O)(c1ccccc1)n1cc(C2CCCNC2)c2ccccc21	Ki	2.0	8.7
256	O=S(=O)(Nc1ccc2c(c1)C(C1CCNC1)=CC2)c1c(Cl)nc2sccn12	Ki	3.0	8.52
257	Cc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccccc12	Ki	12.0	7.92
259	Cc1noc(C)c1S(=O)(=O)Nc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1	Ki	1.0	9.0
260	CSc1nn2c(C)ccnc2c1S(=O)(=O)c1ccccc1	Ki	22.91	7.64
261	CNc1nn2cccnc2c1S(=O)(=O)c1ccc(F)cc1	Ki	11.75	7.93
263	NCCn1cc(S(=O)(=O)c2cccc(F)c2)c2ncccc21	Ki	76.0	7.12
264	CN1CCN(c2cccc3[nH]c(C(=O)c4cccc5ccccc45)nc23)CC1	Ki	34.0	7.47
265	O=C(c1nc2c(N3CCNCC3)cccc2[nH]1)c1cccc2ccccc12	Ki	13.0	7.89
266	O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCNC4CCN(Cc5ccccc5)C4)CC3)cccc21	Ki	13.0	7.89
268	O=S(=O)(NCC1CCN(CCOc2cccc(F)c2)CC1)c1ccc(F)cc1	Ki	2124.0	5.67
269	CSc1ccccc1OCCN1CCC(CNS(=O)(=O)c2cccc(Cl)c2)CC1	Ki	147.0	6.83
270	O=C(NC1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc2ccccc2n1	Ki	1335.0	5.88
271	CC(C)c1ccccc1OCCN1CC[C@H](NS(=O)(=O)c2ccc(Cl)s2)C1	Ki	537.0	6.27
272	COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(CCCCCCNC(=O)CCCCC2SC[C@@H]3NC(=O)N[C@H]23)CC1	Ki	90.0	7.05
273	CSc1nn2cccnc2c1S(=O)(=O)c1cccc(Cl)c1	Ki	15.14	7.82
274	COc1ccc(S(=O)(=O)c2c(SC)nn3c(C)cc(C)nc23)cc1	Ki	37.15	7.43
275	CNc1nn2cccnc2c1S(=O)(=O)c1cccc(Cl)c1	Ki	1.175	8.93
276	CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1	Ki	0.6026	9.22
