	Standard Type	Standard Value	Smiles
890	Ki	27.0	CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)CCN(C)C
900	Ki	23.0	CNCCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3
901	Ki	0.6	CCN(CC)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N
918	Ki	0.6	CCN(CC)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N
919	Ki	43.0	CN(CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3)CC4=CC=CC=C4
920	Ki	6.2	CCN(CC)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3
922	Ki	3.0	CN(CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N)CC4=CC=CC=C4
924	Ki	851.14	C1C[C@@H](N(C1)S(=O)(=O)C2=CC3=C(C=C2)C=CN3)CCN4CCC(CC4)OC5=CC=C(C=C5)Cl
927	Ki	4066.0	C1CCN2CCCN(CC2C1)CCN3C=CC4=C3C=C(C=C4)Br
949	Ki	5.012	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCCCC5C4
958	Ki	0.7943	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCC[C@@H]5C4
964	Ki	1.259	CC1=CC(=C2C=C(C=CC2=N1)NS(=O)(=O)C3=C(C4=C(S3)C=CC(=C4)Cl)C)N5CCNCC5
966	Ki	1.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN(CC5)C
968	Ki	1.9949999999999999	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
971	Ki	1.0	CC1=C(C2=C(S1)C=CC(=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
973	Ki	0.5012000000000001	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=C(C=C4)C5=CC=CC=C5
975	Ki	1.0	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC5=C(C=C4)C(=CC=C5)Cl
977	Ki	1.259	C[C@H]1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C
979	Ki	1.259	CCC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1004	Ki	79.43	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=CC(=CN=C4C=C3)N5CCN(CC5)C
1005	Ki	1.9949999999999999	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN6CCC[C@H]6C5
1008	Ki	5.012	C[C@@H]1CN(C[C@@H](N1)C)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C
1009	Ki	25.12	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC(=CC(=C4)Cl)Cl
1012	Ki	7.9430000000000005	CC1=C(C2=C(S1)C=C(C=C2Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1013	Ki	1.9949999999999999	C[C@@H]1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C
1014	Ki	31.62	C[C@H]1CN[C@@H](CN1C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C)C
1015	Ki	19.95	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN[C@@H](C5)C(C)C
1016	Ki	1.585	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=C(C=C4)I
1017	Ki	6.31	CC1=C(SC2=C1C=C(C=C2Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1018	Ki	1.9949999999999999	CC1=C(C2=C(S1)C(=CC(=C2)Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1021	Ki	0.631	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(C=CN=C3C=C2)N4CCNCC4
1023	Ki	3.9810000000000003	CC1=C(OC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1026	Ki	1.9949999999999999	CC1=C(C2=C(S1)C(=CC=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1030	Ki	3.162	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=CC5=C4C=CC=C5Cl
1035	Ki	1.585	CC(C)C1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
1038	Ki	2.512	CC1=CN=C2C=CC(=CC2=C1N3CCNCC3)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C
1039	Ki	1.259	CC1=CC(=C(C=C1Cl)C)S(=O)(=O)NC2=CC3=C(C=CN=C3C=C2)N4CCNCC4
1040	Ki	1995.26	C1C[C@H]2CC(C[C@@H]1N2CC3CCC(CC3)NC(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl)C5=CNC6=C5C=C(C=C6)O
1042	Ki	79.43	C1CN(CCC1C2=CNC3=C2C=C(C=C3)O)CCCCCNC(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl
1043	Ki	7385.0	COC1=CC=CC=C1N2CCN(CC2)CC3=CNC4=C3C=CC=N4
1044	Ki	7109.5	C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)C(F)(F)F
1045	Ki	6486.5	CCCC1=CC=C(C=C1)N2CCN(CC2)CC3=CNC4=C3C=CC=N4
1046	Ki	4460.7	CCC1=CC=C(C=C1)N2CCN(CC2)CC3=CNC4=C3C=CC=N4
1047	Ki	1656.1999999999998	C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)Cl
1055	Ki	0.7943	CC1=C(C=C(C=C1)I)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3
1056	Ki	0.7943	CC1(CC2=CC=CC=C2N1S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4)C
1057	Ki	0.7943	COC1=C(C=C(C=C1)S(=O)(=O)N2CCCC3=C2C=C(C=C3Cl)Cl)N4CCNCC4
1058	Ki	7.9430000000000005	CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3)Br
1059	Ki	3.9810000000000003	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C2C=CC(=C3)I)N4CCNCC4
1060	Ki	0.5012000000000001	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC(=C2)Br)Br)N3CCNCC3
1061	Ki	3.9810000000000003	CC1=CC2=C(C=C1C(F)(F)F)N(CC2)S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4
1062	Ki	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Br)F)N3CCNCC3
1063	Ki	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Br)Br)N3CCNCC3
1064	Ki	1.585	COC1=C2CCN(CC2=C(C=C1)OC)S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4
1065	Ki	0.5012000000000001	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C(C=CC(=C3C2)Cl)Cl)N4CCNCC4
1066	Ki	1.259	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C(C2)C(=CC=C3)Cl)N4CCNCC4
1067	Ki	1.0	CC(C)C1=CC=CC=C1NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3
1068	Ki	1.585	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=CC=C2Br)N3CCNCC3
1069	Ki	1.9949999999999999	CC1=CC(=C(C=C1Cl)OC)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3
1070	Ki	5.012	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2Cl)Cl)Cl)N3CCNCC3
1071	Ki	3.9810000000000003	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Cl)Cl)N3CCNCC3
1072	Ki	3.162	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Cl)N3CCNCC3
1073	Ki	1.9949999999999999	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Cl)Br)Cl)N3CCNCC3
1074	Ki	25.12	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Cl)C(F)(F)F)N3CCNCC3
1075	Ki	19.95	CC1=C(C=C(C=C1)[N+](=O)[O-])NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3
1076	Ki	0.3162	COC1=C(C=C(C=C1)S(=O)(=O)N2CCCC3=C2C=C(C=C3)Br)N4CCNCC4
1077	Ki	0.631	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC(=C2)Cl)Cl)N3CCNCC3
